,id,categoryName,level,parentId,rankingNo,occupationId,status,Notes
,CT10000,Musical Act,1,,,musicians,active,
,CT11000,Band & Ensembles ,2,CT10000,,musicians,active,
,CT11100,Rock & Pop,3,CT11000,,musicians,active,
,CT11101,Acoustic Bands,4,CT11100,,musicians,active,
,CT11102,Alternative Bands,4,CT11100,,musicians,active,
,CT11103,Blues Bands,4,CT11100,,musicians,active,
,CT11104,Brass Bands,4,CT11100,,musicians,active,
,CT11105,Classic Rock Bands,4,CT11100,,musicians,active,
,CT11106,Cover Bands,4,CT11100,,musicians,active,
,CT11107,Easy Listening Bands,4,CT11100,,musicians,active,
,CT11108,Hardcore Bands,4,CT11100,,musicians,active,
,CT11109,Indie Bands,4,CT11100,,musicians,active,
,CT11110,Karaoke Bands,4,CT11100,,musicians,active,
,CT11111,Heavy Metal Bands,4,CT11100,,musicians,active,
,CT11112,Party Bands,4,CT11100,,musicians,active,
,CT11113,Pop Bands,4,CT11100,,musicians,active,
,CT11114,Punk Bands,4,CT11100,,musicians,active,
,CT11115,Rock Bands,4,CT11100,,musicians,active,
,CT11200,Dance,3,CT11000,,musicians,active,
,CT11201,Dance Bands,4,CT11200,,musicians,active,
,CT11202,Disco Bands,4,CT11200,,musicians,active,
,CT11203,Funk Bands,4,CT11200,,musicians,active,
,CT11204,Motown Groups,4,CT11200,,musicians,active,
,CT11205,R&B Groups,4,CT11200,,musicians,active,
,CT11206,Soul Bands,4,CT11200,,musicians,active,
,CT11207,Top 40 Bands,4,CT11200,,musicians,active,
,CT11300,Jazz,3,CT11000,,musicians,active,
,CT11301,Big Bands,4,CT11300,,musicians,active,
,CT11302,Dixieland Bands,4,CT11300,,musicians,active,
,CT11303,Jazz Bands,4,CT11300,,musicians,active,
,CT11304,Latin Jazz Bands,4,CT11300,,musicians,active,
,CT11305,Ragtime Bands,4,CT11300,,musicians,active,
,CT11306,Swing Bands,4,CT11300,,musicians,active,
,CT11400,Beach ,3,CT11000,,musicians,active,
,CT11401,Calypso Bands,4,CT11400,,musicians,active,
,CT11402,Caribbean Music,4,CT11400,,musicians,active,
,CT11403,Steel Drum Bands,4,CT11400,,musicians,active,
,CT11404,Surfer Bands,4,CT11400,,musicians,active,
